WMO ID,DATA TIMESTAMP,RECEIVED TIMESTAMP,CLOUD LOW TYPE CL,CLOUD BASE M H,CLOUD PEAK M,CLOUD ELEVATION ANGLE EC,CLOUD LOW MED AMT OKTAS,CLOUD MED TYPE CM,CLOUD HIGH TYPE CH,CLOUD MED DIR DM,CLOUD MED HEIGHT M,CLOUD HIGH DIR DH,CLOUD HIGH HEIGHT M,CLOUD COVER OKTAS M,CLOUD LAYER 1 TYPE C,CLOUD LAYER 2 TYPE C,CLOUD LAYER 1 HEIGHT M HSHS,CLOUD LAYER 2 HEIGHT M HSHS,CLOUD LAYER 1 AMT OKTAS NS,CLOUD LAYER 2 AMT OKTAS NS,EVAPORATION 24HOURS MM EEE,EVAPORATION EQ INDICATOR IE,LAND COND,LAND NOTE,PAST WEATHER W1,PAST WEATHER W2,PRESENT WEATHER WW,PRESSURE TEND 3H MB PPP,PRESSURE READING MB,PRESSURE TEMP C,RAINFALL 24H RRRR,RAINFALL 6H RRR,RAINFALL INDICATOR IR,RAINFALL LAST MM,SOLAR RAD 24H JCM2 F24,SUNSHINE H SSS,TEMP DEWPOINT C TDTDTD,TEMP DRYBULB C TTTTTT,TEMP MAX C TXTXTX,TEMP MIN C TNTNTN,TEMP WETBULB C,VISIBILITY VV,WEATHER INDICATOR IX,WIND DIR DEG DD,WIND INDICATOR IW,WIND SPEED FF,CLOUD DIRECTION ANGLE DA,CLOUD MED COVER OKTAS,CLOUD HIGH COVER OKTAS,RELATIVE HUMIDITY PC,PRESSURE QFF MB DERIVED,PRESSURE QFE MB DERIVED,PRESSURE TEND 24H MB PPP,ENCODED SYNOP,ENTRY USER,OBSERVER NAME
99999,2023-01-01 00:00:00.0 +0:00,2023-01-01 07:05:08.254471 Asia/Jakarta,1,420,,,1,3,2,0,4500,0,9000,7,8,3,420,4500,1,5,7.3,0,0,,2,2,2,1.4,,,,0,3,0,,5.1,20.8,29.7,,24.6,23.4,10,2,280,4,4,0,5,6,59,1009.8,1000.3,-0.4,"SMID55 WAJJ 010000
AAXX 01004 
97690 32460 72804 10297 20208 30003 40098 51014 81132
  333 20246 50730 55051 56000 59004 81814 85365 86080=",opr99999,
99999,2023-01-01 01:00:00.0 +0:00,2023-01-01 08:02:50.808315 Asia/Jakarta,2,390,1200,4,1,3,2,0,4500,0,9000,7,8,3,390,4500,1,5,,,0,,2,2,2,,,,,,4,,,,21.1,29.3,,,23.5,10,2,190,4,5,0,5,6,61,1009.8,1000.3,,"SIID65 WAJJ 010100
AAXX 01014 
97690 42460 71905 10293 20211 30003 40098 81232
  333 56000 57804 81813 85365 86080 80840=",opr99999,
99999,2023-01-01 02:00:00.0 +0:00,2023-01-01 09:03:02.89249 Asia/Jakarta,2,390,1200,4,1,3,2,0,4500,0,9000,7,8,3,390,4500,1,5,,,0,,2,2,2,,,,,,4,,,,21.2,30.6,,,23.9,10,2,280,4,4,0,5,6,57,1009,999.5,,"SIID65 WAJJ 010200
AAXX 01024 
97690 42460 72804 10306 20212 39995 40090 81232
  333 56000 57804 81813 85365 86080 80840=",opr99999,
99999,2023-01-01 03:00:00.0 +0:00,2023-01-01 11:02:38.505622 Asia/Jakarta,2,390,1200,4,1,3,2,0,4500,0,9000,7,8,3,390,4500,1,5,,,0,,2,2,2,-1.6,,,,,3,0,,,21,31,,,23.9,10,2,290,4,6,0,5,6,55,1008.2,998.7,,"SIID65 WAJJ 010300
AAXX 01034 
97690 32460 72906 10310 20210 39987 40082 58016 81232
  333 56000 57804 81813 85365 86080 80840=",opr99999,
99999,2023-01-01 04:00:00.0 +0:00,2023-01-01 11:04:43.674912 Asia/Jakarta,2,390,1200,3,1,3,2,0,4500,0,9000,7,8,3,390,4500,1,5,,,0,,2,2,2,,,,,,4,,,,21.1,30.4,,,23.8,10,2,300,4,9,0,5,6,58,1007.4,997.9,,"SIID65 WAJJ 010400
AAXX 01044 
97690 42460 73009 10304 20211 39979 40074 81232
  333 56000 57803 81813 85365 86080 80840=",opr99999,
99999,2023-01-01 05:00:00.0 +0:00,2023-01-01 12:02:49.55105 Asia/Jakarta,2,390,1200,3,1,7,2,0,4200,0,9000,7,8,3,390,4200,1,6,,,0,,6,2,21,,,,,,4,,,,20.9,30.2,,,23.6,10,1,300,4,6,0,6,6,58,1006.4,996.9,,"SIID65 WAJJ 010500
AAXX 01054 
97690 41460 73006 10302 20209 39969 40064 72162 81272
  333 56000 57803 81813 86364 86080 80840=",opr99999,
99999,2023-01-01 06:00:00.0 +0:00,2023-01-01 13:02:39.648194 Asia/Jakarta,2,390,1200,3,1,7,2,0,4200,0,9000,7,8,3,390,4200,1,6,,,0,,6,2,2,-2.9,,,,8888,0,8888,,,21.5,30.2,,,24,10,1,290,4,6,0,6,6,60,1005.3,995.8,,"SMID55 WAJJ 010600
AAXX 01064 
97690 01460 72906 10302 20215 39958 40053 58029 69901 70262 81272
  333 56000 57803 69907 81813 86364 86080 80840=",opr99999,
99999,2023-01-01 07:00:00.0 +0:00,2023-01-01 14:17:01.88427 Asia/Jakarta,2,390,1200,3,1,3,2,0,4500,0,9000,7,8,3,390,4500,1,3,,,0,,2,2,2,,,,,,4,,,,21.9,30.8,,,24.4,10,2,260,4,6,0,3,6,59,1005.3,995.8,,"SIID65 WAJJ 010700
AAXX 01074 
97690 42460 72606 10308 20219 39958 40053 81232
  333 56000 57803 81813 83365 86080 80840=",opr99999,
99999,2023-01-01 08:00:00.0 +0:00,2023-01-01 15:02:44.557514 Asia/Jakarta,2,390,2400,3,2,3,2,0,4500,0,9000,7,8,3,390,4500,2,5,,,0,,2,2,2,,,,,,4,,,,22.8,29.7,,,24.7,10,2,260,4,7,0,5,6,67,1006.2,996.7,,"SIID65 WAJJ 010800
AAXX 01084 
97690 42460 72607 10297 20228 39967 40062 82232
  333 56000 57803 82813 85365 86080 80858=",opr99999,
99999,2023-01-01 09:00:00.0 +0:00,2023-01-01 16:02:36.663035 Asia/Jakarta,2,390,2400,3,2,3,2,0,4500,0,9000,7,8,3,390,4500,2,5,,,0,,2,2,2,1.7,,,,,3,0,,,23.1,28.2,,,24.5,10,2,250,4,4,0,5,6,74,1007,997.5,,"SIID65 WAJJ 010900
AAXX 01094 
97690 32460 72504 10282 20231 39975 40070 53017 82232
  333 56000 57803 82813 85365 86080 80858=",opr99999,
