year,month,nino 3.4
1969,1,1.024814
1969,2,1.014148
1969,3,0.9060549
1969,4,0.7221642
1969,5,0.6004579
1969,6,0.4344331
1969,7,0.353495
1969,8,0.3756039
1969,9,0.5641248
1969,10,0.6576526
1969,11,0.7110762
1969,12,0.6018191
1970,1,0.4726536
1970,2,0.2724938
1970,3,0.2045352
1970,4,0.07799096
1970,5,-0.08106194
1970,6,-0.3770073
1970,7,-0.6315855
1970,8,-0.7555566
1970,9,-0.7761952
1970,10,-0.7694939
1970,11,-0.8988835
1970,12,-1.183008
1971,1,-1.379546
1971,2,-1.392066
1971,3,-1.191065
1971,4,-0.9783695
1971,5,-0.8454625
1971,6,-0.7966601
1971,7,-0.7994114
1971,8,-0.8121426
1971,9,-0.8621016
1971,10,-0.916814
1971,11,-0.9928036
1971,12,-0.8969143
1972,1,-0.693093
1972,2,-0.3490662
1972,3,-0.008331813
1972,4,0.2685108
1972,5,0.5108179
1972,6,0.7822733
1972,7,1.075561
1972,8,1.31147
1972,9,1.540178
1972,10,1.779159
1972,11,2.043383
1972,12,2.053966
1973,1,1.769214
1973,2,1.214735
1973,3,0.5104423
1973,4,-0.05914235
1973,5,-0.493302
1973,6,-0.7985402
1973,7,-1.059905
1973,8,-1.278463
1973,9,-1.436249
1973,10,-1.702961
1973,11,-1.90279
1973,12,-2.015927
1974,1,-1.826839
1974,2,-1.571386
1974,3,-1.249638
1974,4,-1.075503
1974,5,-0.9051285
1974,6,-0.7373669
1974,7,-0.5232388
1974,8,-0.438757
1974,9,-0.5054889
1974,10,-0.7140408
1974,11,-0.8493769
1974,12,-0.7494208
1975,1,-0.6221464
1975,2,-0.6142927
1975,3,-0.7281188
1975,4,-0.8313028
1975,5,-0.9658629
1975,6,-1.116741
1975,7,-1.284119
1975,8,-1.376223
1975,9,-1.552808
1975,10,-1.616827
1975,11,-1.72595
1975,12,-1.763674
1976,1,-1.637386
1976,2,-1.247706
1976,3,-0.8687185
1976,4,-0.6616627
1976,5,-0.4947554
1976,6,-0.208207
1976,7,0.07026814
1976,8,0.2771104
1976,9,0.5278445
1976,10,0.730039
1976,11,0.7909826
1976,12,0.7508723
1977,1,0.6035873
1977,2,0.5114009
1977,3,0.2334286
1977,4,0.1451107
1977,5,0.1771112
1977,6,0.3324061
1977,7,0.3285344
1977,8,0.3634165
1977,9,0.4841111
1977,10,0.6686392
1977,11,0.785743
1977,12,0.8263922
1978,1,0.7237333
1978,2,0.4270805
1978,3,-0.01453153
1978,4,-0.3001557
1978,5,-0.3937556
1978,6,-0.3331141
1978,7,-0.3544661
1978,8,-0.4771435
1978,9,-0.4935824
1978,10,-0.3691209
1978,11,-0.1800972
1978,12,-0.09639393
1979,1,-0.07798576
1979,2,0.002827999
1979,3,0.1124421
1979,4,0.1507509
1979,5,0.1103245
1979,6,-0.0067539
1979,7,0.03420108
1979,8,0.1645365
1979,9,0.3121909
1979,10,0.4290123
1979,11,0.4778493
1979,12,0.5439388
1980,1,0.475427
1980,2,0.3416941
1980,3,0.2227347
1980,4,0.2087634
1980,5,0.3091505
1980,6,0.3173527
1980,7,0.2140539
1980,8,0.01276304
1980,9,-0.09888918
1980,10,-0.04778703
1980,11,0.02171713
1980,12,-0.06702023
1981,1,-0.266746
1981,2,-0.4468128
1981,3,-0.4111581
1981,4,-0.3468087
1981,5,-0.257795
1981,6,-0.3333402
1981,7,-0.3589055
1981,8,-0.3178765
1981,9,-0.1917552
1981,10,-0.1341736
1981,11,-0.1443499
1981,12,-0.05518055
1982,1,0.006560633
1982,2,0.1028806
1982,3,0.1739747
1982,4,0.4047367
1982,5,0.6216173
1982,6,0.6896193
1982,7,0.7652277
1982,8,1.011764
1982,9,1.489538
1982,10,1.889386
1982,11,2.170516
1982,12,2.308019
1983,1,2.300374
1983,2,2.02276
1983,3,1.573295
1983,4,1.245911
1983,5,0.9632844
1983,6,0.642473
1983,7,0.2060012
1983,8,-0.2003034
1983,9,-0.5109558
1983,10,-0.7774275
1983,11,-0.8924033
1983,12,-0.7669538
1984,1,-0.458426
1984,2,-0.2555727
1984,3,-0.233185
1984,4,-0.3543292
1984,5,-0.4718355
1984,6,-0.4652472
1984,7,-0.3289856
1984,8,-0.1869434
1984,9,-0.2638755
1984,10,-0.6003608
1984,11,-0.9521771
1984,12,-1.122408
1985,1,-0.996253
1985,2,-0.846719
1985,3,-0.767051
1985,4,-0.7779425
1985,5,-0.7042221
1985,6,-0.5415936
1985,7,-0.4151316
1985,8,-0.3958231
1985,9,-0.3862622
1985,10,-0.3067475
1985,11,-0.2487502
1985,12,-0.295594
1986,1,-0.4115328
1986,2,-0.3941593
1986,3,-0.2653183
1986,4,-0.1945024
1986,5,-0.1067153
1986,6,0.01125977
1986,7,0.238428
1986,8,0.4581638
1986,9,0.6974181
1986,10,0.9249729
1986,11,1.11261
1986,12,1.222819
1987,1,1.263427
1987,2,1.232974
1987,3,1.089255
1987,4,0.9882442
1987,5,1.015712
1987,6,1.221847
1987,7,1.482335
1987,8,1.63823
1987,9,1.643112
1987,10,1.53588
1987,11,1.321704
1987,12,1.14182
1988,1,0.7934005
1988,2,0.5048273
1988,3,0.118028
1988,4,-0.2986895
1988,5,-0.8085294
1988,6,-1.21174
1988,7,-1.249506
1988,8,-1.141557
1988,9,-1.315822
1988,10,-1.627067
1988,11,-1.90883
1988,12,-1.901634
1989,1,-1.724853
1989,2,-1.467772
1989,3,-1.121292
1989,4,-0.8584492
1989,5,-0.5839819
1989,6,-0.3987401
1989,7,-0.309412
1989,8,-0.3110231
1989,9,-0.3106218
1989,10,-0.29408
1989,11,-0.2015098
1989,12,-0.07450037
1990,1,0.1227338
